away_team,home_team,away_score,home_score,week
bills,jets,16,22,1
cardinals,commanders,16,20,1
panthers,falcons,10,24,1
bengals,browns,3,24,1
texans,ravens,9,25,1
jaguars,colts,31,21,1
49ers,steelers,30,17,1
buccaneers,vikings,20,17,1
titans,saints,15,16,1
packers,bears,38,20,1
rams,seahawks,30,13,1
raiders,broncos,17,16,1
dolphins,chargers,36,34,1
eagles,patriots,25,20,1
cowboys,giants,40,0,1
lions,chiefs,21,20,1
,,,,
saints,panthers,20,17,2
browns,steelers,22,26,2
ravens,bengals,27,24,2
bears,buccaneers,17,27,2
packers,falcons,24,25,2
colts,texans,31,20,2
chiefs,jaguars,17,9,2
chargers,titans,24,27,2
raiders,bills,10,38,2
seahawks,lions,37,31,2
giants,cardinals,31,28,2
49ers,rams,30,23,2
jets,cowboys,10,30,2
commanders,broncos,35,33,2
dolphins,patriots,24,17,2
vikings,eagles,28,34,2
,,,,
eagles,buccaneers,25,11,3
rams,bengals,16,19,3
falcons,lions,6,20,3
bills,commanders,37,3,3
broncos,dolphins,20,70,3
texans,jaguars,37,17,3
colts,ravens,22,19,3
chargers,vikings,28,24,3
patriots,jets,15,10,3
saints,packers,17,18,3
titans,browns,3,27,3
panthers,seahawks,27,37,3
bears,chiefs,10,41,3
cowboys,cardinals,16,28,3
steelers,raiders,23,18,3
giants,49ers,12,30,3
,,,,
seahawks,giants,24,3,4
falcons,jaguars,7,23,4
ravens,browns,28,3,4
bengals,titans,3,27,4
broncos,bears,31,28,4
rams,colts,29,23,4
dolphins,bills,20,48,4
vikings,panthers,21,13,4
steelers,texans,6,30,4
buccaneers,saints,26,9,4
commanders,eagles,31,34,4
raiders,chargers,17,24,4
cardinals,49ers,16,35,4
patriots,cowboys,3,38,4
chiefs,jets,23,20,4
lions,packers,34,20,4
,,,,
packers,raiders,13,17,5
jaguars,bills,25,20,5
ravens,steelers,10,17,5
panthers,lions,24,42,5
texans,falcons,19,21,5
saints,patriots,34,0,5
giants,dolphins,16,31,5
titans,colts,16,23,5
bengals,cardinals,34,20,5
eagles,rams,23,14,5
chiefs,vikings,27,20,5
jets,broncos,31,21,5
cowboys,49ers,10,42,5
bears,commanders,40,20,5
,,,,
cowboys,chargers,20,17,6
ravens,titans,24,16,6
panthers,dolphins,21,42,6
colts,jaguars,20,37,6
vikings,bears,19,13,6
saints,texans,13,20,6
seahawks,bengals,13,17,6
49ers,browns,17,19,6
commanders,falcons,24,16,6
patriots,raiders,17,21,6
cardinals,rams,9,26,6
lions,buccaneers,20,6,6
eagles,jets,14,20,6
giants,bills,9,14,6
broncos,chiefs,8,19,6
,,,,
49ers,vikings,17,22,7
falcons,buccaneers,16,13,7
bills,patriots,25,29,7
browns,colts,39,38,7
lions,ravens,6,38,7
raiders,bears,12,30,7
commanders,giants,7,14,7
cardinals,seahawks,10,20,7
steelers,rams,24,17,7
packers,broncos,17,19,7
chargers,chiefs,17,31,7
dolphins,eagles,17,31,7
jaguars,saints,31,24,7
,,,,
raiders,lions,14,26,8
falcons,titans,23,28,8
texans,panthers,13,15,8
jaguars,steelers,20,10,8
rams,cowboys,20,43,8
vikings,packers,24,10,8
patriots,dolphins,17,31,8
saints,colts,38,27,8
jets,giants,13,10,8
eagles,commanders,38,31,8
browns,seahawks,20,24,8
ravens,cardinals,31,24,8
bengals,49ers,31,17,8
chiefs,broncos,9,24,8
bears,chargers,13,30,8
buccaneers,bills,18,24,8
